layer_name,weight_shape,total_params,zero_params,sparsity
conv1,"[64, 3, 7, 7]",9408,148,0.015731292517006803
layer1.0.conv1,"[64, 64, 3, 3]",36864,1159,0.031439887152777776
layer1.0.conv2,"[64, 64, 3, 3]",36864,442,0.011990017361111112
layer1.1.conv1,"[64, 64, 3, 3]",36864,578,0.015679253472222224
layer1.1.conv2,"[64, 64, 3, 3]",36864,595,0.016140407986111112
layer2.0.conv1,"[128, 64, 3, 3]",73728,859,0.011650933159722222
layer2.0.conv2,"[128, 128, 3, 3]",147456,2268,0.015380859375
layer2.0.downsample.0,"[128, 64, 1, 1]",8192,50,0.006103515625
layer2.1.conv1,"[128, 128, 3, 3]",147456,3006,0.0203857421875
layer2.1.conv2,"[128, 128, 3, 3]",147456,3736,0.025336371527777776
layer3.0.conv1,"[256, 128, 3, 3]",294912,7204,0.024427625868055556
layer3.0.conv2,"[256, 256, 3, 3]",589824,71631,0.1214447021484375
layer3.0.downsample.0,"[256, 128, 1, 1]",32768,683,0.020843505859375
layer3.1.conv1,"[256, 256, 3, 3]",589824,199658,0.3385043674045139
layer3.1.conv2,"[256, 256, 3, 3]",589824,217883,0.3694034152560764
layer4.0.conv1,"[512, 256, 3, 3]",1179648,518874,0.4398549397786458
layer4.0.conv2,"[512, 512, 3, 3]",2359296,1477310,0.6261656019422743
layer4.0.downsample.0,"[512, 256, 1, 1]",131072,12241,0.09339141845703125
layer4.1.conv1,"[512, 512, 3, 3]",2359296,1537638,0.6517359415690104
layer4.1.conv2,"[512, 512, 3, 3]",2359296,1529991,0.6484947204589844
fc,"[10, 512]",5120,62,0.012109375
